sl_nb_chambre,sl_taille,sl_prix,sl_salle_d_eau,sl_salle_de_bain,sl_toilette,sl_etage,sl_hauteur,sl_parking,sl_terrasse,sl_nb_piece,sl_localisation_enc,sl_cuisine_enc,sl_exposition_enc,sl_vue_enc,sl_ascenseur_enc,sl_neuf_enc,sl_cave_enc,sl_annee_enc,sl_balcon_enc,sl_parquet_enc,sl_style_enc,sl_gardien_enc
1.0,47.0,155000.0,1.0,1.0,1.0,1.0,5.0,1.0,1.4285714285714286,2.0,0,0,0,0,1,0,1,0,0,1,0,1
2.0,57.0,288750.0,1.0,1.0,1.0,1.0,5.0,1.0,1.2857142857142858,3.0,0,0,0,0,0,0,1,0,0,0,0,0
3.0,180.0,1260000.0,1.0,1.0,1.0,1.0,7.0,1.0,1.1428571428571428,5.0,0,0,0,0,1,0,1,0,0,0,0,0
3.0,148.0,1700000.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,4.0,0,0,0,0,0,1,1,0,0,0,0,0
1.0,58.0,277990.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0
3.0,154.0,1230000.0,1.0,1.0,2.0,2.0,10.0,1.0,1.0,5.0,0,0,0,0,1,0,1,0,0,0,0,1
2.0,52.0,359000.0,1.0,1.0,1.0,3.0,10.0,1.0,1.0,3.0,0,0,0,0,1,0,1,0,1,1,0,1
2.0,92.0,650000.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0
4.0,245.0,1100000.0,3.0,3.0,3.0,1.75,2.0,1.0,1.0,6.0,0,0,1,0,0,0,0,0,0,0,0,0
5.0,250.0,885000.0,2.5,2.0,2.5,1.5,1.0,1.0,1.0,7.0,0,1,0,0,0,0,0,0,0,0,1,0
3.0,138.0,895000.0,2.0,1.0,2.0,1.25,4.0,1.0,1.0,4.0,0,0,0,0,1,0,1,0,0,1,0,0
