sl_nb_chambre,sl_taille,sl_prix,sl_salle_d_eau,sl_salle_de_bain,sl_toilette,sl_etage,sl_hauteur,sl_parking,sl_terrasse,sl_nb_piece,sl_style_enc,sl_localisation_enc,sl_cuisine_enc,sl_exposition_enc,sl_vue_enc,sl_ascenseur_enc,sl_neuf_enc,sl_cave_enc,sl_annee_enc,sl_balcon_enc,sl_parquet_enc,sl_gardien_enc
3.0,217.0,1995000.0,1.5,3.0,1.0,4.0,6.0,2.0,3.0,4.0,0,0,0,0,0,1,0,1,0,0,0,1
3.0,156.0,2950000.0,1.0,1.0,1.0,2.0,6.5,1.9333333333333333,2.3333333333333335,6.0,0,0,0,0,0,1,1,0,0,1,0,0
1.0,55.0,595000.0,1.0,1.0,1.0,4.0,7.0,1.8666666666666667,1.6666666666666667,3.0,0,0,1,0,0,1,0,0,0,0,1,1
1.0,25.0,370000.0,1.0,1.0,1.0,4.0,7.0,1.8,1.0,1.0,0,0,0,0,0,1,0,0,0,0,1,0
1.0,44.0,455000.0,1.0,1.0,1.0,5.0,7.0,1.7333333333333334,1.0,2.0,0,0,0,0,0,0,0,1,1,0,0,0
3.0,153.0,2130000.0,1.0,1.0,2.0,3.0,7.0,1.6666666666666667,1.0,5.0,0,0,0,0,0,1,0,0,0,1,1,0
1.0,35.0,359000.0,1.0,1.0,1.0,2.5,7.0,1.6,1.0,2.0,0,0,0,0,0,1,1,1,0,0,1,0
1.0,64.0,780000.0,1.0,1.0,1.0,2.0,6.0,1.5333333333333332,1.0,2.0,0,0,0,0,0,1,0,1,0,0,1,1
1.0,58.0,735000.0,1.0,1.0,1.0,1.0,5.0,1.4666666666666668,1.1538461538461537,2.0,0,0,0,0,0,1,0,1,0,0,0,0
2.0,152.0,2300000.0,1.0,1.0,1.0,4.0,5.0,1.4,1.3076923076923077,4.0,0,0,0,0,0,1,0,1,0,0,0,1
2.0,61.0,820000.0,1.0,1.0,1.0,1.0,7.0,1.3333333333333335,1.4615384615384617,3.0,0,0,1,0,0,1,0,0,0,0,1,1
2.0,92.0,1100000.0,1.0,1.0,1.0,7.0,9.0,1.2666666666666666,1.6153846153846154,4.0,0,0,0,0,0,1,1,1,0,0,1,0
