,sl_prix,sl_localisation,sl_cuisine,sl_exposition,sl_vue,sl_ascenseur,sl_neuf,sl_cave,sl_annee,sl_balcon,sl_parquet,sl_style,sl_gardien,sl_nb_chambre,sl_taille,sl_salle_d_eau,sl_salle_de_bain,sl_toilette,sl_etage,sl_hauteur,sl_parking,sl_terrasse,sl_nb_piece
0,155000.0,0,0,0,0,1,0,1,0,0,1,0,1,1,47,1,1,1,1,5,1,1,2
1,288750.0,0,0,0,0,0,0,1,0,0,0,0,0,2,57,1,1,1,1,5,1,1,3
2,1260000.0,0,0,0,0,1,0,1,0,0,0,0,0,3,180,1,1,1,1,7,1,1,5
3,1700000.0,0,0,0,0,0,1,1,0,0,0,0,0,3,148,1,2,1,2,3,1,1,4
4,277990.0,0,0,0,0,1,0,0,0,0,0,0,0,1,58,1,1,1,1,8,1,1,2
5,1230000.0,0,0,0,0,1,0,1,0,0,0,0,1,3,154,1,1,2,2,10,1,1,5
6,359000.0,0,0,0,0,1,0,1,0,1,1,0,1,2,52,1,1,1,3,10,1,1,3
7,650000.0,0,0,0,0,1,0,0,0,0,0,0,0,2,92,2,1,1,2,3,1,1,3
8,1100000.0,0,0,1,0,0,0,0,0,0,0,0,0,4,245,3,3,3,1,2,1,1,6
9,885000.0,0,1,0,0,0,0,0,0,0,0,1,0,5,250,2,2,2,1,1,1,1,7
10,895000.0,0,0,0,0,1,0,1,0,0,1,0,0,3,138,2,1,2,1,4,1,1,4
11,860000.0,0,0,0,0,1,0,0,0,0,1,0,0,3,138,1,1,1,1,7,1,1,4
12,359000.0,0,0,0,0,1,0,1,0,1,1,0,1,2,52,1,1,1,3,10,1,1,3
13,140000.0,0,0,0,0,0,0,0,1,0,0,0,0,2,15,1,1,1,5,5,1,1,1
14,698000.0,0,0,0,0,1,0,1,0,0,0,0,0,3,99,1,1,1,2,6,1,1,4
15,222000.0,0,0,0,0,0,0,1,1,0,1,0,0,2,79,1,1,1,1,7,1,1,3
16,1180000.0,0,0,0,0,1,0,1,0,0,1,0,0,3,144,1,1,2,1,8,1,1,5
17,315000.0,0,0,0,0,0,0,0,0,0,0,0,0,2,59,1,1,1,1,9,1,1,3
18,1260000.0,0,0,0,0,1,0,1,0,0,0,0,0,3,180,1,1,1,1,7,1,1,5
19,1250000.0,0,1,0,0,1,1,1,0,0,1,0,0,3,140,3,1,1,4,4,1,1,5
20,650000.0,0,0,0,0,1,0,0,0,0,0,0,0,2,92,2,1,1,2,3,1,1,3
21,470000.0,0,0,0,0,1,0,0,0,0,0,0,0,2,72,1,1,1,1,3,1,1,3
22,365000.0,0,0,0,0,0,0,0,1,0,0,0,0,1,51,1,1,1,4,4,1,1,2
23,90500.0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,1,1,1,2,3,1,1,1
24,440000.0,0,0,0,0,0,0,1,0,0,0,0,0,3,106,1,1,1,3,4,1,1,4
25,325000.0,0,0,0,0,1,0,0,0,1,0,0,1,1,41,1,1,1,4,6,1,1,2
26,544000.0,0,0,0,0,1,0,0,0,0,0,0,0,1,85,1,1,1,4,3,1,1,3
27,595000.0,0,0,0,0,0,0,0,1,0,0,0,0,3,132,1,1,1,2,1,1,1,4
28,575000.0,0,0,0,0,1,0,1,0,0,0,0,1,2,96,2,1,1,1,7,1,1,3
29,850000.0,0,0,0,0,0,0,1,0,0,0,1,0,6,268,3,1,4,1,2,1,1,10
30,112000.0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,1,1,1,1,3,1,1,1
31,720000.0,0,0,0,0,1,0,1,1,0,1,0,0,2,102,1,1,1,3,5,1,1,3
32,649500.0,0,1,0,0,1,0,1,0,0,0,0,0,2,105,1,1,1,7,7,1,1,3
33,448000.0,0,0,0,0,1,1,1,0,1,0,0,0,2,64,1,1,1,6,7,1,1,3
34,285000.0,0,0,0,0,1,0,1,0,0,0,0,0,1,54,1,1,1,2,3,1,1,2
35,625000.0,0,0,0,0,1,0,1,0,0,0,0,0,2,80,1,1,1,7,3,1,1,3
36,629000.0,0,0,0,0,1,0,1,0,0,0,0,1,2,95,1,1,1,12,12,1,1,3
37,565000.0,0,0,0,0,1,0,1,0,0,1,0,0,2,80,1,1,1,7,7,1,1,4
38,1280000.0,0,0,0,0,0,0,1,0,0,0,0,0,3,276,1,1,1,1,4,1,1,5
39,325500.0,0,0,0,0,1,0,1,0,1,0,0,0,3,78,1,1,1,1,5,1,1,4
40,179000.0,0,0,0,0,1,0,0,0,0,0,0,0,1,31,1,1,1,1,4,1,1,2
41,112000.0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,1,1,1,2,3,1,1,1
42,112000.0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,1,1,1,1,3,1,1,1
43,910000.0,0,1,0,0,0,0,1,0,0,0,0,0,4,136,1,1,2,2,3,1,1,5
44,269900.0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,1,1,1,3,4,1,1,2
45,315000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,1,1,1,5,5,1,1,2
46,839000.0,0,1,0,0,0,0,0,0,0,0,0,0,4,132,1,1,2,1,4,1,2,5
47,278600.0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,1,1,1,1,4,1,1,2
48,150000.0,0,0,0,0,1,0,1,0,0,0,0,1,1,52,1,1,1,2,7,1,1,2
