,sl_prix,sl_style,sl_localisation,sl_cuisine,sl_exposition,sl_vue,sl_ascenseur,sl_neuf,sl_cave,sl_annee,sl_balcon,sl_parquet,sl_gardien,sl_nb_chambre,sl_taille,sl_salle_d_eau,sl_salle_de_bain,sl_toilette,sl_etage,sl_hauteur,sl_parking,sl_terrasse,sl_nb_piece
0,1995000.0,0,0,0,0,0,1,0,1,0,0,0,1,3,217,1,3,1,4,6,2,3,4
1,2950000.0,0,0,0,0,0,1,1,0,0,1,0,0,3,156,1,1,1,2,6,1,2,6
2,595000.0,0,0,1,0,0,1,0,0,0,0,1,1,1,55,1,1,1,4,7,1,1,3
3,370000.0,0,0,0,0,0,1,0,0,0,0,1,0,1,25,1,1,1,4,7,1,1,1
4,455000.0,0,0,0,0,0,0,0,1,1,0,0,0,1,44,1,1,1,5,7,1,1,2
5,2130000.0,0,0,0,0,0,1,0,0,0,1,1,0,3,153,1,1,2,3,7,1,1,5
6,359000.0,0,0,0,0,0,1,1,1,0,0,1,0,1,35,1,1,1,2,7,1,1,2
7,780000.0,0,0,0,0,0,1,0,1,0,0,1,1,1,64,1,1,1,2,6,1,1,2
8,735000.0,0,0,0,0,0,1,0,1,0,0,0,0,1,58,1,1,1,1,5,1,1,2
9,2300000.0,0,0,0,0,0,1,0,1,0,0,0,1,2,152,1,1,1,4,5,1,1,4
10,820000.0,0,0,1,0,0,1,0,0,0,0,1,1,2,61,1,1,1,1,7,1,1,3
11,1100000.0,0,0,0,0,0,1,1,1,0,0,1,0,2,92,1,1,1,7,9,1,1,4
12,792330.0,0,0,1,0,0,1,1,1,0,0,1,1,2,72,1,1,1,1,6,1,1,3
13,1159000.0,0,0,0,0,0,1,0,0,0,0,1,0,4,124,1,1,1,2,7,1,1,6
14,455000.0,0,0,0,0,0,0,0,1,1,0,0,0,1,44,1,1,1,5,7,1,2,2
15,990000.0,0,0,0,0,0,1,0,0,0,0,1,1,4,110,1,2,1,3,7,1,2,5
16,845000.0,0,0,0,0,0,1,0,1,0,0,0,1,2,69,1,1,1,3,9,1,2,3
17,385000.0,0,0,0,0,0,1,0,1,0,0,0,1,1,33,1,1,1,3,9,1,2,1
18,850000.0,0,0,0,0,0,1,1,1,0,0,1,1,1,54,1,1,1,2,7,1,2,2
19,1710000.0,0,0,0,0,0,1,1,1,0,0,1,1,3,101,1,1,2,1,8,1,2,4
20,3620000.0,0,0,0,0,0,1,0,1,0,0,0,1,2,148,1,2,2,9,9,1,3,5
21,880000.0,0,0,0,0,0,1,0,1,0,0,1,1,2,72,1,1,1,5,8,1,3,3
22,570000.0,0,0,0,0,0,1,0,1,0,0,0,1,1,43,1,2,2,4,6,1,3,2
23,4850000.0,0,0,0,0,0,0,1,0,0,0,0,0,4,245,2,3,4,4,7,1,3,10
24,880000.0,0,0,0,0,0,1,0,1,0,0,1,1,2,72,1,1,1,5,8,1,3,3
25,770000.0,0,0,0,0,0,1,0,1,0,0,0,0,2,66,1,1,1,5,5,1,3,3
26,475000.0,0,0,0,0,0,1,1,1,0,0,0,0,1,40,1,1,1,1,7,1,3,2
27,2130000.0,0,0,0,0,0,1,0,1,0,1,1,0,3,153,1,1,2,3,3,1,3,5
28,867000.0,0,0,0,0,0,1,0,1,0,0,1,0,1,69,1,1,1,3,3,1,3,3
29,4850000.0,0,0,0,0,0,0,1,0,0,0,0,0,4,245,2,3,4,6,6,1,3,10
30,3620000.0,0,0,0,0,0,1,0,1,0,0,0,1,2,148,1,2,2,9,9,1,3,5
31,425000.0,0,0,0,0,0,1,0,0,0,0,1,1,2,35,1,1,1,5,7,1,2,1
32,240000.0,0,0,0,0,0,0,0,0,0,0,1,1,2,19,1,1,1,6,5,1,2,1
33,2500000.0,0,0,1,0,0,1,1,1,0,0,1,0,3,196,1,1,3,1,4,1,2,6
34,4850000.0,0,0,0,0,0,0,1,0,0,0,0,0,4,245,2,3,4,2,5,1,2,10
35,1070000.0,0,0,0,0,0,1,0,1,0,0,0,1,1,64,1,1,2,4,7,1,1,2
36,725000.0,0,0,0,0,0,0,0,0,0,0,0,1,1,51,1,1,1,1,2,1,1,2
37,770000.0,0,0,0,0,0,1,1,0,0,0,0,1,1,65,1,1,1,4,4,1,1,2
38,1401000.0,0,0,1,1,0,1,0,0,0,0,1,1,3,119,1,2,2,4,6,1,1,5
39,1295000.0,0,0,1,0,0,1,0,1,0,1,0,1,3,105,1,1,1,4,8,1,1,4
40,830000.0,0,0,0,0,0,1,0,1,0,0,0,0,2,78,1,1,1,6,7,1,1,3
41,984000.0,0,0,0,0,0,1,0,1,0,0,1,1,2,65,1,1,1,5,7,1,1,3
42,2020000.0,0,0,0,0,0,1,0,1,0,0,0,0,3,141,1,2,2,5,7,2,1,6
43,1350000.0,0,0,1,0,0,1,1,1,0,0,1,1,2,100,1,1,1,2,6,1,1,4
44,950000.0,0,0,0,0,0,1,0,1,0,0,1,1,1,78,1,1,1,3,6,1,1,3
45,890000.0,0,0,0,0,0,1,0,1,0,1,1,1,3,89,2,1,2,4,8,1,1,4
46,649000.0,0,0,0,0,0,1,0,1,0,0,0,1,1,61,1,1,1,1,9,1,1,2
47,798000.0,0,0,0,0,0,1,0,1,0,0,0,1,2,72,1,1,1,1,6,1,1,3
48,835000.0,0,0,0,0,0,1,0,0,0,0,1,0,2,70,1,2,1,1,4,1,1,3
49,600000.0,0,0,0,0,0,1,0,0,1,0,0,0,1,69,1,1,1,7,7,1,1,2
50,400000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,67,1,1,1,4,9,1,1,2
51,895000.0,0,0,0,0,0,1,1,1,0,0,0,1,2,66,1,1,1,1,5,1,1,3
52,312000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,65,1,1,1,3,3,1,1,2
53,345000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,63,1,1,1,4,7,1,1,1
54,600000.0,0,0,0,0,0,1,0,0,1,1,0,0,1,62,1,1,1,6,7,1,1,2
55,855000.0,0,0,0,0,0,1,0,1,0,0,0,1,1,61,1,1,1,5,6,1,1,2
56,842000.0,0,0,0,0,0,0,0,0,0,0,0,0,3,122,1,1,2,4,6,1,1,5
57,925000.0,0,0,0,0,0,1,1,1,0,0,1,1,1,55,1,1,1,4,6,1,1,2
58,39000000.0,0,0,0,0,0,0,1,0,0,0,0,0,10,1600,1,1,1,3,6,1,1,15
59,495000.0,0,0,0,0,0,1,0,0,1,0,1,0,1,42,1,1,1,2,6,1,1,2
60,661500.0,0,0,0,0,0,1,0,0,0,0,0,1,2,62,1,1,1,2,6,1,1,3
61,2100000.0,0,0,1,0,0,1,0,1,1,0,0,1,4,170,1,2,3,3,6,1,1,6
62,701000.0,0,0,1,0,0,1,0,1,0,0,0,1,1,48,1,1,1,4,9,1,1,2
63,2030000.0,0,0,0,0,0,1,0,1,1,0,1,1,3,148,1,1,2,3,5,1,1,5
64,915000.0,0,0,0,0,0,1,0,1,0,0,0,0,2,85,1,2,1,2,2,1,1,5
65,315000.0,0,0,0,0,0,1,0,0,0,0,0,1,2,22,2,2,1,1,9,1,1,2
66,1000000.0,0,0,0,0,0,1,0,1,0,0,0,1,3,108,1,2,1,3,7,1,1,5
67,2480000.0,0,0,0,0,0,1,1,0,0,0,0,0,2,175,1,2,1,2,6,1,1,5
68,1100000.0,0,0,0,0,0,0,0,0,0,0,0,1,1,58,1,1,1,2,6,1,1,2
