sl_style,sl_localisation,sl_nb_chambre,sl_taille,sl_prix,sl_paragraphe,sl_salle_d_eau,sl_salle_de_bain,sl_toilette,sl_annee,sl_etage,sl_hauteur,sl_ascenseur,sl_vue,sl_cave,sl_parking,sl_chemine,sl_exposition,sl_balcon,sl_terrasse,sl_gardien,sl_travaux,sl_neuf,sl_parquet,sl_cuisine,sl_vis_a_vis,sl_jardin,sl_piscine,sl_nb_piece
Appartement,,3 chambres,"114,74m²",440 000 €,"CALUIRE Face au 6E - T4 - ancien rénové avec cachet - très lumineux + superbe vue - coup de coeur pour ce T4 en dernier étage situé à seulement 10 mn du parc de la tête d'or, face au 6ème, 114,74 m² utiles (105 m² loi carrez) offrant une vue imprenable sur le fleuve et la cité internationale. Venez découvrir cet appartement avec un grand séjour parquet + mezzanine et cuisine américaine équipée, 3 chambres, une salle d'eau. Chauffage pompe à chaleur/climatisation. Double vitrage. Parking facile aux pieds de la copropriété. Bus tcl n°9 pour Bellecour/cordeliers. Passerelle de la paix pour accéder au parc. Dpe: D. Charges annuelles du lot: 1494 euros (eau froide comprise). Copropriété de 35 lots dont 22 appartements. Local vélo. Station vélov en bas de l'immeuble. Votre contact agence: Adrien BUNUEL Honoraires charge vendeur. Copropriété de 32 lots (Pas de procédure en cours). Charges annuelles: 1494.00 euros.",Non reference,,,Année de construction 1900,Au 3ème étage,Bâtiment de 3 étages,Non reference,Vue,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,,,Non reference,Non reference,Non reference,4 pièces
Appartement,Quartier Les Brotteaux-Bellecombe-Masséna,2 chambres,"63,08m²",410 000 €,"Exclusivité Entrevue Immobilière - T3 Proche Parc Tête d'Or - Contactez Yoann Sage Idéalement situé à 3 minutes à pied du Parc de la Tête d'Or et à 5 minutes des métros Foch et Masséna. Venez découvrir ce T3 traversant d'environ 65 m², situé au 1er étage sur 8. Composé d'une cuisine meublée et équipée ouverte sur le séjour climatisé, de deux chambres de 10 et 11 m² donnant sur jardin, d'un balcon, d'une salle de bain et de WC séparés. Une cave en sous-sol vient compléter ce bien. Charges de copropriété: 1700 euros annuel comprenant les charges courantes, l'eau froide et le chauffage - Pas de procédure en cours sur la copropriété. Pour plus d'informations ou pour visiter, contactez Yoann Sage // (RSAC de Lyon 848 165 106) Copropriété de 82 lots (Pas de procédure en cours). Charges annuelles: 1700.00 euros.",Non reference,1 Salle de bain,1 Toilette,Année de construction 1963,Au 1er étage,Bâtiment de 8 étages,Ascenseur,Non reference,Cave,Non reference,Non reference,Orientation Nord,1 Balcon,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine équipée,Non reference,Non reference,Non reference,3 pièces
Appartement,Quartier Les Brotteaux-Bellecombe-Masséna,2 chambres,73m²,475 000 €,"T3 de 73 m² offrant un séjour en parquet plein ouest de 25 m² environ, une cuisine équipée à l'est, deux chambres en parquet dont une de 18 m² avec un vaste dressing aménagé, salle d'eau avec douche à l'italienne. Cave.. Terrain HCL. Voilà le lien du Matterport:.? M=tBCQwMe1QaU 475000 euros Honoraires à la charge du vendeur.",,,Non reference,Non reference,Au 1er étage,Non reference,Ascenseur,Non reference,Cave,Non reference,Non reference,,Non reference,Non reference,Non reference,Non reference,Non reference,,,Non reference,Non reference,Non reference,3 pièces
Appartement,,1 chambre,"23,51m²",237 000 €,"Coup de coeur pour ce magnifique T2 entièrement rénové à deux pas du Parc de la Tête d'Or. Au calme, il se compose d'un séjour avec cuisine ouverte équipé, une jolie chambre, une salle d'eau avec wcA voir sans tarder ! DPE: D 188Kwh et D 24 Kg éq CO2 /CHARGES ANNUELLES 490 euros/38 LOTS DE COPROPRIÉTÉ DONT 34 APPARTEMENTS VOTRE CONTACT AGENCE: Guillaume PERRACHON Copropriété de 38 lots (Pas de procédure en cours). Charges annuelles: 490.00 euros.",1 Salle d'eau,Non reference,1 Toilette,Année de construction 1960,Au 1er étage,Bâtiment de 8 étages,Ascenseur,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine américaine équipée,Non reference,Non reference,Non reference,2 pièces
Appartement,Quartier Les Brotteaux-Bellecombe-Masséna,1 chambre,"39,69m²",179 000 €,"Spécial investisseurs ! Appartement 2 pièces au sein de la résidence étudiante Dicosa. Le métro A (Charpennes) et B (Brotteaux) sont situés à quelques pas permettant de rejoindre facilement le centre-ville, ainsi que le campus de La Doua, le Lycée du Parc, et le centre commercial de la Part-Dieu. DICOSA profite d'un emplacement unique, dans l'un des quartiers résidentiels les plus recherchés de Lyon, le 6ème arrondissement. La résidence offre 50 appartements au mobilier de grande qualité, résolument contemporain, dessiné par le designer Sereno. Les résidents profiteront d'une salle de fitness, d'un espace études- bibliothèque et d'une laverie. Un espace vert en cour intérieure apportera aux étudiants le calme et la sérénité nécessaire à leur réussite. LOYERS DE 711 euros HT. GARANTIS TOUS LES MOIS, QUE LE LOGEMENT SOIT OCCUPE OU PAS, DE FAIBLES CHARGES, UNE FISCALITÉ AVANTAGEUSE LMNP/LMP. Julie Conte - Agent commercial - RSAC: 835221169 Copropriété de 50 lots (Pas de procédure en cours). Charges annuelles: 562.00 euros.",Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine aucune,Non reference,Non reference,Non reference,2 pièces
Appartement,Quartier Les Brotteaux-Bellecombe-Masséna,2 chambres,79m²,538 000 €,"LYON 6°, secteur Lycée du Parc. Coup de coeur assuré pour cet appartement de 79 m² situé au 4ème étage d'un très bel immeuble Art Déco, qui a su préservé son charme de l'ancien avec un esprit contemporain. Il est composé d'un salon et d'une cuisine séparée par une verrière donnant sur un balcon filant exposé à l'Est, sans aucun vis-à-vis. Une alcôve servant actuellement de troisième chambre bénéficie d'une belle luminosité grâce à sa verrière ouverte sur le salon. La partie nuit dessert deux chambres donnant sur une cour au calme côté Ouest. Une salle de bains avec baignoire ainsi que de nombreux rangements complètent ce bien. L'appartement est entièrement climatisé, chauffage individuel au gaz. Immeuble sur son terrain. Possibilité de louer un box fermé à proximité. Infos Loi Alur: copropriété de 26 lots, quote-part charges annuelles 860 €. Violaine PRENOT.",Non reference,1 Salle de bain,1 Toilette,Année de construction 1928,Au 4ème étage,Bâtiment de 6 étages,Ascenseur,Non reference,Cave,Non reference,Non reference,Non reference,1 Balcon,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine séparée,Non reference,Non reference,Non reference,3 pièces
Appartement,Quartier Les Brotteaux-Bellecombe-Masséna,3 chambres,120m²,820 000 €,"LYON 3 Préfecture, proche Rhône, dans bel immeuble ancien sur son terrain ravalé récemment et en étage élevé avec ascenseur, T4 de 120 m² offrant une entrée, puis, exposé sud, sans vis-àv-vis: un séjour double de 45 m², une cuisine récente équipée. Trois chambres spacieuses. Salle d'eau avec douche à l'italienne. Beaux parquets de chêne, corniches, cheminées. Chauffage individuel au gaz. Cave et grenier. Local à vélos/poussettes. 820000 euros Honoraires à la charge du vendeur.",1 Salle d'eau,1 Salle de bain,Non reference,Non reference,Au 4ème étage,Non reference,Ascenseur,Non reference,Cave,Non reference,Non reference,Orientation Sud,Non reference,Non reference,Non reference,Non reference,Non reference,Parquet,Cuisine américaine,Non reference,Non reference,Non reference,4 pièces
Appartement,Quartier Tête d'Or-Foch-Vitton,2 chambres,100m²,695 000 €,"Très belle situation pour ce spacieux T 4 en étage élevé. Il offre une magnifique pièce de vie d'environ 53 m² avec une cuisine ouverte entièrement équipéee et un joli balcon. Le coin nuit comprend 2 grandes chambres avec de beaux parquets chêne et une grande salle de bains avec douche et baignoire. Porte blindée, Huisseries changées en 2013. Une cave et un grenier complétent ce descriptif. Possibilité garage en plus. Produit rare à voir absolument.Exclusivité.Pour une visite ou plus de renseignements n'hésitez pas à nous contacter: AGENCE IMMOBILIÈRE DU GRAND OUEST: 7, rue de la Mairie 69210 Lentilly, au centre du village. Visites possibles du lundi au samedi. Consultez notre site internet et retrouvez toutes nos annonces. Honoraires charge vendeur. Didier Journoud. Agent Immobilier.",Non reference,1 Salle de bain,1 Toilette,Année de construction 1970,Au 4ème étage,Bâtiment de 6 étages,Ascenseur,Non reference,"8,17m² Cave",Non reference,Non reference,Orientation Est,6m² Balcon,Non reference,Non reference,Non reference,Non reference,Parquet,Cuisine américaine équipée,Non reference,Non reference,Non reference,3 pièces
Appartement,Quartier Tête d'Or-Foch-Vitton,2 chambres,80m²,675 000 €,"Le Général vous propose de découvrir ce nouveau bien Type 4 de 80 m² habitable, extrêmement bien situé dans le 6ème arrondissement de Lyon (69006) - Secteur Maréchal lyautey.",Non reference,1 Salle de bain,1 Toilette,Non reference,Au 4ème étage,Bâtiment de 5 étages,Ascenseur,Non reference,Cave,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,3 pièces
Appartement,,2 chambres,90m²,595 000 €,"A vendre en exclusivité chez Era Grand Ouest Azergues Un magnifique LOFT situé dans le quartier hyper prisé des BROTTEAUX (entre rue NEY et rue WALDECK ROUSSEAU) dans le 6ème arrondissement de Lyon.IMMEUBLE SUR SON TERRAIN Il se compose comme suit: Une entrée avec rangements desservant d'un coté l'espace nuit avec 2 chambres, une salle de bain double vasques et un WC, de l'autre un salon/séjour-cuisine d'environ 40 m², bénéficiant d'un magnifique plafond à la française et d'une mezzanine de 12 m², le tout exposé sud. Vous apprécierez - La situation géographique: commerces, transports et écoles à 2 minutes à pieds. - La cave en sous-sol de 40 m². - Le style moderne de ce bien unique. Dont 4.17 % honoraires TTC à la charge de l'acquéreur. Copropriété de 23 lots (Pas de procédure en cours). Charges annuelles: 540.00 euros.",Non reference,1 Salle de bain,1 Toilette,Non reference,Au 1er étage,Bâtiment de 2 étages,Non reference,Non reference,Cave,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine américaine équipée,Non reference,Non reference,Non reference,3 pièces
Appartement,,2 chambres,79m²,538 000 €,"Au coeur des Brotteaux, idéalement situé à deux pas du Parc de la tête d'or, des commerces, du lycée du Parc et de la gare de la Part-Dieu, cet appartement de 79 m², traversant est-ouest, prend place au 4ème étage sur entresol d'un bel immeuble art déco de 1928.",Non reference,1 Salle de bain,1 Toilette,Année de construction 1928,Au 4ème étage,Bâtiment de 6 étages,Ascenseur,Non reference,Cave,Non reference,Non reference,Orientation Est,1 Balcon,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine équipée,Non reference,Non reference,Non reference,3 pièces
Appartement,,2 chambres,"85,02m²",695 000 €,"Haut de gamme - T3/T4 de 85.02 m² idéalement situé sur le boulevard des Belges en face du parc de la tête d'or. Vous serez séduit par ses prestations de qualité et de sa rénovation haut de gamme au 3ème étage avec ascenseur dans un immeuble de standing sur son terrain. Ce bien lumineux plein sud mêlant ingénieusement l'ancien et le contemporain se compose d'un séjour avec cuisine US équipée, deux chambres, une salle de douche, WC séparés et un grand dressing. Possibilité d'une 3ème chambre. Une cave et un grenier complètent le bien. Proche de toutes les commodités. Calme et lumineux. Kassandra Berbit ou Sophie Ferrini.",Non reference,1 Salle de bain,1 Toilette,Année de construction 1920,Au 3ème étage,Non reference,Ascenseur,Non reference,Cave,Non reference,Non reference,Orientation Sud,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine américaine équipée,Non reference,Non reference,Non reference,3 pièces
Appartement,,3 chambres,98m²,695 000 €,"COEUR BROTTEAUX, Situation idéale pour cet appartement rénové, T4,98 m², étage élevé, ascenseur, orienté Est / Ouest, vaste séjour, cuisine indépendante équipée, trois belles chambres dont une sur jardin, salle de bain, parquets d'origine, boiseries et cheminées, calme et lumineux, idéal famille !",Non reference,1 Salle de bain,1 Toilette,Non reference,Au 4ème étage,Non reference,Ascenseur,Non reference,Non reference,Non reference,Non reference,Orientation Est,Non reference,Non reference,Non reference,Non reference,Non reference,Parquet,Cuisine séparée équipée,Non reference,Non reference,Non reference,4 pièces
Appartement,Quartier Tête d'Or-Foch-Vitton,5 chambres,276m²,1 550 000 €,"Exclusivité, Lyon 6ème, secteur rue Duquesne/Vendôme, dans un très bel immeuble de standing, venez découvrir cet appartement spacieux de 276 m² (271 m² carrez) situé à l'étage noble (2ème étage sur entresol). Vous serez immédiatement séduit par ses volumes (belle hauteur sous plafond, taille des pièces) et son cachet (boiseries, moulures, 6 cheminées, parquets chevron). Son emplacement privilégié dans le 6ème arrondissement à proximité de la place Puvis de Chavannes, des quais du Rhône et du Parc de la Tête d'Or en font un bien rare et recherché. Dans son agencement actuel, l'appartement dispose d'un salon de 42 m², d'une salle à manger de 35 m², d'une grande cuisine fermée, de 5 grandes chambres, de 2 salles de bain et d'une salle d'eau. Des travaux de rénovation sont à prévoir pour améliorer le confort de vie notamment dans les pièces d'eau. Immeuble sur son terrain. Cave, 2 greniers. A visiter rapidement.",Non reference,2 Salles de bain,2 Toilettes,Non reference,Au 2ème étage,Bâtiment de 4 étages,Ascenseur,Non reference,Cave,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Parquet,Cuisine séparée équipée,Non reference,Non reference,Non reference,7 pièces
Appartement,Quartier Les Brotteaux-Bellecombe-Masséna,1 chambre,"45,14m²",320 000 €,"Exclusivité ORPI: Lyon 6ème - 97 rue Garibaldi, proche de la Part-Dieu.. Cet appartement T2 de 45.14 m² carrez avec cuisine séparée se situe au 4ème étage d'un immeuble de bon standing avec ascenseur. Traversant, il propose un séjour à l'Ouest sur rue avec accès au balcon (5m²) et une chambre à l'Est sur cour au calme. Les prestations sont récentes et de qualité: cuisine aménagée et équipée, douche à l'italienne, parquets massifs, double vitrage et volets roulants. L'appartement est en parfait état aux dernières normes.. Les charges comprennent le chauffage collectif, l'eau chaude et froide et le gardien. Bail des HCL 2075. Vendu avec cave. Ancien bail de location 1120euros/mois.. Un garage est proposé en sus pour 40 000 euros supplémentaires.. Classe énergie: D 320000 euros Honoraires à la charge du vendeur.",Non reference,1 Salle de bain,Non reference,Non reference,Au 4ème étage,Non reference,Ascenseur,Non reference,Cave,Non reference,Non reference,Non reference,1 Balcon,Non reference,Gardien,Non reference,Non reference,Parquet,Cuisine séparée,Non reference,Non reference,Non reference,2 pièces
