bd_style,bd_localisation,bd_nb_chambre,bd_nb_piece,bd_prix,bd_paragraphe,bd_salle_d_eau,bd_salle_de_bain,bd_toilette,bd_annee,bd_etage,bd_hauteur,bd_ascenseur,bd_vue,bd_cave,bd_parking,bd_chemine,bd_exposition,bd_balcon,bd_terrasse,bd_gardien,bd_travaux,bd_neuf,bd_parquet,bd_cuisine,bd_vis_a_vis,bd_jardin,bd_piscine,bd_taille
Appartement,Paris 16ème,1 Chambre,5 Pièces,"6 300 000 €
Les honoraires sont à la charge du vendeur","Paris 16ème - Palais de Tokyo. Rare. Vue Tour Eiffel et 360+ sur Paris, superbe penthouse de 230 m² avec 300 m² de terrasse. L'appartement sur deux niveaux se compose d'une entrée, d'un salon avec parquet et cheminée, d'un bureau ou chambre, d'un séjour et salle à manger, d'une cuisine ouverte, d'une chambre master avec dressing et salle de bains, d'un hammam. Prestations très haut de gamme, possibilité d'acquérir un studio en supplément du prix. Paris Ouest Sotheby's International Realty, la référence internationale de l'immobilier de prestige à Paris 16ème.",Non reference,1 Salle de bain,Non reference,Année de construction 1900,Au 3ème étage,Bâtiment de 3 étages,Ascenseur,Belle vue,Non reference,,Non reference,Non reference,Non reference,Terrasse,Non reference,Non reference,Non reference,Parquet,Non reference,Non reference,Non reference,Non reference,['230 M²']
Appartement,Paris 16ème,5 Chambres,10 Pièces,"3 000 000 € à 10 000 000 €
Les honoraires sont à la charge du vendeur","Paris 16ème - Jardin du Ranelagh. Dans un hôtel particulier Art Déco en pierre de taille entouré d'un jardin de 280 m², superbe appartement de 333 m² et 3,8 m de hauteur sous plafond à la fois de réception et familial. Au niveau du jardin se trouvent une galerie d'entrée desservant un bureau, un petit salon, un grand salon avec accès direct sur le jardin, une salle à manger, un office et une cuisine dînatoire. Par un superbe escalier à la française, on accède à l'étage supérieur qui comprend cinq chambres avec trois salles de bains et une salle d'eau. Un studio de service, quatre chambres de service, quatre caves et trois emplacements de parking complètent cette offre. Paris Ouest Sotheby's International Realty, la re´fe´rence internationale de l'immobilier de prestige a` Paris 16ème.",1 Salle d'eau,3 Salles de bain,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Cave,Parking,Non reference,Non reference,,,Non reference,Non reference,Non reference,Parquet,Non reference,Non reference,Non reference,Non reference,['333 M²']
Appartement,Paris 16ème,4 Chambres,6 Pièces,"2 995 000 €
Les honoraires sont à la charge du vendeur","TERRASSE 80 M2 A proximité de la place du Trocadero. Dans un bel immeuble récent de standing Appartement climatisé avec terrasse de plain pied dont une partie couverte avec salle à manger d'été Double réception, 4 chambres dont une suite parentale complète avec salle de bains et dressings. Une salle bains et une salle d'eau pour les autres chambres. WC invités. Vaste cuisine luxueusement équipée avec coin repas ouverte sur la terrasse Excellent état général, double exposition, parking et cave en sous-sol.",2 Salles d'eau,2 Salles de bain,3 Toilettes,Année de construction 1976,Au 2ème étage,Non reference,Non reference,Non reference,Cave,,Non reference,Non reference,Balcon,Terrasse,Gardien,Non reference,Non reference,Parquet,Non reference,Non reference,Non reference,Non reference,['185 M²']
Appartement,Paris 16ème,4 Chambres,6 Pièces,"2 980 000 €
Les honoraires sont à la charge du vendeur","Paris 16 - EXCLUSIVITÉ - FLANDRIN - APPARTEMENT 4 CHAMBRES Au 5ème étage d'un bel immeuble haussmannien, appartement familial et de réception de 232 m² composé d'une galerie d'entrée, d'un double séjour donnant sur un balcon filant, d'une salle à manger, d'une cuisine indépendante et de quatre chambres. Parquet, moulures, cheminées, beaux volumes. L'appartement a fait l'objet d'une rénovation. Deux caves et un water closet attenant complètent ce bien.",Non reference,Non reference,Non reference,Année de construction 1914,Au 5ème étage,Bâtiment de 7 étages,Ascenseur,Non reference,Cave,,Non reference,Non reference,Balcon,,Non reference,Non reference,Non reference,Parquet,Non reference,Non reference,Non reference,Non reference,['232 M²']
Appartement,Paris 16ème,3 Chambres,5 Pièces,"1 800 000 €
Honoraires TTC inclus à la charge de l’acquéreur : 4,65% du prix du bien hors honoraires
Prix du bien hors honoraires : 1 720 000 €","Victor Hugo - Appartement trois chambres - 6ème étage - Balcons Dans un des plus beaux immeubles de l'avenue, appartement de 123 m², refait à neuf, au sixième étage avec ascenseur. Très lumineux, il comprend une cuisine, un grand séjour plein SUD, trois chambres et deux salles de bains. L'ensemble est bordé de larges balcons (14,5m²) et bénéficie d'une belle hauteur sous plafond (plus de 3 mètres). Le ravalement de l'immeuble est en cours. Gardienne, Cave. L'accès à l'appartement se fait par les parties communes de service en cours de rénovation. L'ascenseur est accessible au premier étage. Dont 4.65 % honoraires TTC à la charge de l'acquéreur. Copropriété de 63 lots (Pas de procédure en cours). Charges annuelles: 5152.00 euros.",Non reference,2 Salles de bain,2 Toilettes,Année de construction 1905,Au 6ème étage,Bâtiment de 7 étages,Ascenseur,Non reference,Cave,,Non reference,Non reference,Balcon,,Gardien,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,['123 M²']
Appartement,Paris 16ème,4 Chambres,6 Pièces,"2 590 000 €
Honoraires TTC inclus à la charge de l’acquéreur : 0% du prix du bien hors honoraires
Prix du bien hors honoraires : 2 512 300 €","Appartement familial de 190 m², rénové par architecte, situé au 3ème étage avec ascenseur d'un immeuble de standing de 1924. Entrée, salon, salle-à-manger avec cuisine dînatoire mitoyenne et espace Bureau/Bibliothèque. En partie nuit, 4 chambres, dont une suite avec dressing et salle de bains, 2 salles de douche. Nombreux rangements, buanderie et double cave. Parquet, moulures, cheminées et beaux volumes (hauteur sous plafond 2,95m) Calme et charme, au coeur de Passy. Proche commerces, transports et écoles - Parking disponible à la location. Honoraires de transaction 3% TTC à la charge de l'acquéreur Prix net vendeur: 2 512 300 euros Cet appartement profite d'une localisation de premier plan, au coeur du vivant quartier de Passy. Au calme d'une rue tranquille, mais à deux pas des commerces et de toutes les commodités, il se trouve, de plus, à proximité de nombreux établissements scolaires réputés du seizième arrondissement (Saint-Jean, Gerson, La Tour..). Idéalement situé, il permet également de profiter en voisin du Jardin du Ranelagh, du Parc de Passy et du Bois de Boulogne. Transports: Métro L6 Passy, L9 La Muette, RER C Boulainvilliers, Bus 22-32-52-70.",Non reference,3 Salles de bain,1 Toilette,Année de construction 1924,Au 3ème étage,Bâtiment de 6 étages,Ascenseur,Non reference,Non reference,Non reference,Non reference,Non reference,,,Non reference,Non reference,Non reference,Parquet,Non reference,Non reference,Non reference,Non reference,['190 M²']
Appartement,Paris 16ème,4 Chambres,7 Pièces,"2 220 000 €
Les honoraires sont à la charge du vendeur","TROCADERO / CHAILLOT. 4 CHAMBRES LONGCHAMP / LUBECK. Dans un bel immeuble ART-DÉCO, nous vous proposons un appartement familial et de réception de 185,84 m² carrez, avec beaucoup de cachet, très clair et ensoleillé, exposé Sud-Ouest avec 3 mètres de Hauteur sous-plafond et un très beau parquet. Cet appartement se compose d'une vaste entrée, une triple réception de 86 m² comprenant une cuisine ouverte et traversante, 4 chambres, 3 salles de douches, 3 WC (dont un WC séparé d'invités), un grand dressing et de nombreux placards aménagés sur mesure agrémentent ce bien en excellent état, décoré avec beaucoup de goût. Une cave complète ce bien. Possibilité de Parkings. Emplacement idéal proche des transports, commerces et écoles de renom. Sectorisation Janson de Sailly. Professions libérales autorisées.",2 Salles d'eau,1 Salle de bain,3 Toilettes,Année de construction 1930,Au 1er étage,Bâtiment de 7 étages,Ascenseur,Non reference,Cave,,Non reference,Non reference,,,Gardien,Non reference,Non reference,Parquet,Non reference,Non reference,Non reference,Non reference,['186 M²']
Appartement,Paris 16ème,4 Chambres,7 Pièces,"2 590 000 €
Honoraires TTC inclus à la charge de l’acquéreur : 4,01606% du prix du bien hors honoraires
Prix du bien hors honoraires : 2 490 000 €","Avenue Mozart Situé avenue Mozart, ce très bel appartement lumineux de 203 m² avec 3,5m de hauteur sous plafond et tout le charme de l'ancien, se compose d'une entrée, un double séjour exposé ouest avec balcon, un bureau avec rangement (ou chambre), une cuisine séparée, 4 chambres au calmes, dont une suite parentale, une salle d'eau, une buanderie, un WC invités et de nombreux rangements. Entièrement refait à neuf il y a 4 ans. Pas de vis à vis proche. A voir absolument ! Visite virtuelle disponible.",2 Salles d'eau,Non reference,Toilette séparée,Année de construction 1896,Au 1er étage,Bâtiment de 6 étages,Ascenseur,Non reference,Cave,,Non reference,Non reference,Balcon,,Gardien,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,['203 M²']
Appartement,Paris 16ème,3 Chambres,5 Pièces,"1 508 000 €
Honoraires TTC inclus à la charge de l’acquéreur : 4% du prix du bien hors honoraires
Prix du bien hors honoraires : 1 450 000 €","5 pièces haussmanien Foch - Étoile, Dans une prestigieuse copropriété du haut de l'avenue Foch se trouve ce bel appartement de 105 m². Situé au 1er étage et donnant sur des cours intérieures, l'appartement est très calme. Il est composé d'une entrée, un séjour orienté Sud Est, une salle à manger, une cuisine, 3 chambres, une salle de bains et une salle de douche. Une cave complète ce bien. Votre référent: Erwan PERRIN + 330662736616.",1 Salle d'eau,1 Salle de bain,1 Toilette,Année de construction 1880,Au 1er étage,Bâtiment de 7 étages,Ascenseur,Non reference,Cave,,Non reference,Non reference,Non reference,,Gardien,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,['104 M²']
Appartement,Paris 16ème,2 Chambres,4 Pièces,"1 150 000 €
Les honoraires sont à la charge du vendeur","Paris XVIe - Boulevard Murat / Auteuil. Proche du village d'Auteuil et de ses nombreux commerces. Situé au 7ème étage avec ascenseur d'un immeuble bien entretenu des années 60, [EN'APARTÉ] vous propose un 4 pièces traversant composé d'une entrée, d'un vaste séjour avec un accès à un balcon exposé plein Ouest, d'une salle à manger, d'une cuisine indépendante aménagée et équipée avec un coin dinatoire, d'un espace nuit avec deux chambres, d'une salle d'eau et un espace avec de nombreux placards et d'un toilette indépendant. Possibilité de créer une troisième chambre. Son caractère traversant, ses nombreuses fenêtres et son étage élevé lui confèrent une très bonne luminosité tout au long de la journée. Une cave agrémente ce bien.",1 Salle d'eau,Non reference,Toilette séparée,Année de construction 1960,Au 7ème étage,Bâtiment de 10 étages,Ascenseur,Non reference,Cave,,Non reference,Non reference,Balcon,,Gardien,Non reference,Non reference,Parquet,Non reference,Non reference,Non reference,Non reference,['100 M²']
