sl_style,sl_localisation,sl_nb_chambre,sl_taille,sl_prix,sl_paragraphe,sl_salle_d_eau,sl_salle_de_bain,sl_toilette,sl_annee,sl_etage,sl_hauteur,sl_ascenseur,sl_vue,sl_cave,sl_parking,sl_chemine,sl_exposition,sl_balcon,sl_terrasse,sl_gardien,sl_travaux,sl_neuf,sl_parquet,sl_cuisine,sl_vis_a_vis,sl_jardin,sl_piscine,sl_nb_piece
Appartement,Quartier Auteuil Sud,1 chambre,"73,5m²",731 500 €,"Appartement à vendre Secteur MIRABEAU Vue sur Seine, dans un immeuble récent, au 4ème étage avec ascenseur, appartement traversant composé d'une entrée, un double séjour avec balcon donnant sur la seine une chambre (possibilité 2), une cuisine indépendante, une salle de bains, un WC séparé. Immeuble sécurisé par un gardien 24h/24h, une cave complète ce bien. Cet appartement bénéficie d'une double exposition Est/Ouest, sans vis à vis et d'un plan en étoile. Sectorisation JB SAY. Des travaux sont à prévoir. Proche commerces et transports. Copropriété de 22 lots (Pas de procédure en cours). Charges annuelles: 2657.00 euros.",Non reference,1 Salle de bain,1 Toilette,Année de construction 1950,Au 4ème étage,Bâtiment de 9 étages,Ascenseur,Non reference,Cave,Non reference,Non reference,Non reference,1 Balcon,Non reference,Gardien,Non reference,Non reference,Non reference,Cuisine séparée,Non reference,Non reference,Non reference,3 pièces
Appartement,Quartier Auteuil Sud,2 chambres,75m²,850 000 €,"Appartement de 75 m² situé au 3ème étage avec ascenseur d'un immeuble des années 1950, comprenant une entrée avec placards, un double séjour, une cuisine indépendante, 2 chambres sur cour, une salle de bains et WC séparés. Cet appartement est situé à l'entrée du village d'Auteuil, proche hippodrome, à proximité des commerces et des transports, offre un plan parfait, très lumineux. Travaux à prévoir. Dont 4.94 % honoraires TTC à la charge de l'acquéreur. Copropriété de 30 lots (Pas de procédure en cours). Charges annuelles: 2800.00 euros.",Non reference,1 Salle de bain,1 Toilette,Année de construction 1954,Au 3ème étage,Bâtiment de 8 étages,Ascenseur,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine séparée,Non reference,Non reference,Non reference,3 pièces
Appartement,,"32,63m²",9 960 € / m²,325 000 €,"PASSY - TROCADERO Dans un bel immeuble de 1908, studio de 32 m² au rez de chaussée comprenant une entrée, une salle d'eau, une cuisine et une salle de séjour. Des travaux sont à prévoir. Une cave complète ce bien.",1 Salle d'eau,Non reference,1 Toilette,Année de construction 1908,Non reference,Bâtiment de 6 étages,Ascenseur,Non reference,Cave,Non reference,Non reference,Non reference,Non reference,Non reference,Gardien,Non reference,Non reference,Parquet,Non reference,Non reference,Non reference,Non reference,1 pièce
Appartement,Quartier Porte Dauphine,3 chambres,"149,2m²",2 395 000 €,"Dans le quartier Victor Hugo / place de Mexico / Janson de sailly, situé au quatrième étage avec ascenseur dans un très bel immeuble ancien, un appartement de 149,20m² loi Carrez. L'appartement se compose d'une spacieuse double réception orientée plein sud, d'une belle et grande cuisine aménagée et équipée, de trois chambres, d'une salle de bains, d'une salle d'eau et de deux toilettes indépendantes. Nombreux placards. Très lumineux et ensoleillé. Belle hauteur sous plafond. Une très grande cave complète ce bien.",1 Salle d'eau,1 Salle de bain,2 Toilettes,Année de construction 1898,Au 4ème étage,Bâtiment de 7 étages,Ascenseur,Non reference,Cave,Non reference,Non reference,Orientation Sud,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine séparée équipée,Non reference,Non reference,Non reference,5 pièces
Appartement,Quartier Muette Nord,"27,33m²",15 368 € / m²,420 000 €,"Situé au premier étage surélevé avec ascenseur d'un immeuble récent parfaitement tenu, magnifique studio de 27,3m² loi Carrez aux beaux volumes avec balcon de 6 m². Il comprend une entrée fonctionnelle avec placards intégrés, une très belle pièce à vivre avec espace salon faisant office aussi de partie nuit, une salle à manger et une véritable cuisine intégrée avec fenêtre et entièrement équipée. Cette très belle pièce ouvre sur un agréable balcon de 5,95m² avec charmante vue sur les hôtels particuliers de la rue. Salle de bains avec aération et toilettes. Plan optimisé. Fenêtres double vitrage. Grande clarté. Excellent état. Décoré avec beaucoup de goût. À proximité directe de tous les commerces et transports. Possibilité d'acquérir en complément tout le mobilier du studio. EXCLUSIVITÉ. Visualisez la visite virtuelle et le plan interactif de ce bien sur notre site.",Non reference,1 Salle de bain,1 Toilette,Année de construction 1973,Au 1er étage,Bâtiment de 8 étages,Ascenseur,Non reference,Non reference,Non reference,Non reference,Orientation Nord-Ouest,1 Balcon,Non reference,Non reference,Non reference,Non reference,Non reference,Cuisine équipée,Non reference,Non reference,Non reference,1 pièce
Appartement,Quartier Chaillot,1 chambre,"53,53m²",835 000 €,"En étage avec ascenseur, dans un immeuble de grand standing, appartement de 53,53m² loi Carrez bénéficiant d'un large balcon filant de 6,56m² avec vue dégagée. Il se compose d'une entrée avec placard, d'un vaste séjour plein sud, d'une cuisine séparée, d'une grande chambre avec dressing, d'une salle de bains.",Non reference,1 Salle de bain,1 Toilette,Non reference,Au 2ème étage,Bâtiment de 8 étages,Ascenseur,Vue,Non reference,Non reference,Non reference,Orientation Sud,1 Balcon,Non reference,Gardien,Non reference,Non reference,Non reference,Cuisine séparée,Non reference,Non reference,Non reference,2 pièces
Appartement,Quartier Auteuil Sud,2 chambres,77m²,796 000 €,"Michel Ange - Auteuil VENDMY, première néo-agence internationale à commission réduite vous présente: Situé à deux pas de tous commerces et transports, au 4ème étage avec ascenseur d'un très bel immeuble 1930 bien entretenu, gardienné et sécurisé, appartement très bien configuré, à refaire, traversant, avec vue complètement dégagée d'un côté et baigné de lumière (exposition Ouest/Est). L'appartement avec belle hauteur sous plafond se compose comme suit: Une entrée, un spacieux double living, 2 chambres (possibilité de facilement créer une 3ème chambre), salle de bains, toilettes séparées. Une cave complète ce bien. Possibilité d'acquérir une chambre de service louable (8,04 m² / 21m3) situé au 8ème étage en sus du prix. Prix: 796.000 euros FAI dont 2% TTC de commission d'agence à la charge du vendeur et incluse dans le prix affiché. La présente annonce immobilière a été rédigée sous la responsabilité éditoriale de Mr Loic Forneri, Agent Commercial mandataire en immobilier immatriculé au Registre Spécial des Agents Commerciaux (RSAC) du Tribunal de Commerce de Paris. Votre référent: Loic FORNERI + 330617828202.",Non reference,1 Salle de bain,1 Toilette,Année de construction 1930,Au 4ème étage,Non reference,Ascenseur,Vue,Cave,Non reference,Non reference,Orientation Est,Non reference,Non reference,Gardien,Non reference,Non reference,Non reference,Cuisine séparée,Non reference,Non reference,Non reference,4 pièces
Appartement,Quartier Auteuil Sud,2 chambres,80m²,899 000 €,"Avenue de Versailles, proche métro. Dans une résidence de standing de 1991 avec gardien au 8ème étage avec grand ascenseur. Un appartement familial de 3/4 pièces avec plan en étoile d'une surface de 80m² au sol dont 79,17m² Carrez, Très LUMINEUX, plein SUD et sans vis-à-vis avec BALCON. Il se compose d'une entrée avec placards donnant sur un spacieux double-séjour, 1 chambre avec sa propre salle d'eau et placards, 1 suite parentale avec une vue magique sur la Tour Eiffel, avec dressing, salle d'eau avec WC et fenêtre, cuisine séparée toute équipée pouvant être ouverte sur le séjour, WC séparé, beau parquet au sol, double vitrage. Une cave complète ce bien. 1 place de parking possible en location. Avenue de Versailles, proche des commerces et au pied du métro Porte de Saint-Cloud. Classe d'énergie D Copropriété: 277 lots dont 107 lots principaux. Quote-part budget prévisionnel annuel: 2412 €. Prix affiché honoraires inclus à 3,10% TTC.",2 Salles d'eau,Non reference,2 Toilettes,Année de construction 1991,Au 8ème étage,Bâtiment de 10 étages,Ascenseur,Non reference,Cave,1 Parking,Non reference,Orientation Sud,1 Balcon,Non reference,Gardien,Non reference,Non reference,Parquet,Cuisine séparée,Non reference,Non reference,Non reference,4 pièces
Appartement,Quartier Auteuil Sud,3 chambres,217m²,1 995 000 €,"Appartement à vendre 16e arrondissement. Sectorisation JB Say. Pour les amoureux des terrasses, cet appartement bénéficiant d'un rooftop de 102 m² vous séduira par ses nombreux espaces extérieurs. Au dernier étage d'un immeuble récent (1993) avec ascenseur, ce duplex d'exception de 148 m² Loi Carrez, très lumineux avec une grande hauteur sous plafond est composé comme suit: Au premier niveau, une entrée, un double séjour de 50 m² avec cheminée donnant sur une terrasse de 40 m², une chambre avec salle de bains, ainsi qu'une cuisine avec terrasse. Au deuxième niveau, nous retrouvons deux chambres avec chacune leur salle de bains, et leur balcon terrasse, un dressing, et toilettes séparés. Un toit terrasse domine l'appartement. Ce bien représente une surface totale cumulée de 320 m², dont 172 m² d'extérieurs. Une cave, et 2 parkings complètent ce bien rare, 50 000 euros FAI chacun. Nous contacter rapidement pour visiter ce bien. Dont 4.45 % honoraires TTC à la charge de l'acquéreur. Copropriété de 23 lots (Pas de procédure en cours). Charges annuelles: 6780.00 euros.",Non reference,3 Salles de bain,1 Toilette,Année de construction 1993,Au 4ème étage,Bâtiment de 6 étages,Ascenseur,Non reference,Cave,2 Parkings,Non reference,Non reference,2 Balcons,3 Terrasses,Gardien,Non reference,Non reference,Non reference,Cuisine séparée,Non reference,Non reference,Non reference,4 pièces
Appartement,Quartier Porte Dauphine,3 chambres,156m²,2 950 000 €,"En exclusivité, Tout proche de la place Victor Hugo, immeuble haussmannien avec de de très belles parties communes, sublime appartement d'angle d'une surface de 156 m² + balcon filant de 12 m² comprenant un grand Séjour de 50 m², cuisine dînatoire mitoyenne, 3 chambres dont une suite parentale avec sa salle de bains, 2 autres chambres, Douche, WC séparé, nombreux rangements, grande cave bétonnée et gardienne. Plan parfait. Rare sur le marché !",1 Salle d'eau,1 Salle de bain,1 Toilette,Non reference,Au 2ème étage,Non reference,Ascenseur,Vue,Non reference,Non reference,Non reference,Non reference,1 Balcon,Non reference,Non reference,Non reference,Refait à neuf,Non reference,Cuisine coin cuisine,Non reference,Non reference,Non reference,6 pièces
